"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,"Reporting starts","Reporting ends"
"3021 | BU D'Ultimate | Engage IG | Lifestyle | 1-28 Feb 2026","Lifestyle  |  1-28 Feb 2026",25-34,unknown,592,933,13,,2,THB,32.98,11,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage FB | แหวนคู่ 39,900.-  | 1-28 Feb 2026","แหวนคู่ 39,900.- |  1-28 Feb 2026",25-34,unknown,213,390,5,,7,THB,16.55277286,3,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage FB | แหวนคู่ 39,900.-  | 1-28 Feb 2026","แหวนคู่ 39,900.- |  1-28 Feb 2026",45-54,unknown,56,90,6,,7,THB,10.33173073,6,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage IG | Lifestyle reels  | 1-28 Feb 2026","Lifestyle reels |  1-28 Feb 2026",35-44,unknown,106,244,20,,0,THB,9.30992019,9,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage FB | แหวนคู่ 39,900.-  | 1-28 Feb 2026","แหวนคู่ 39,900.- |  1-28 Feb 2026",35-44,unknown,93,178,9,,10,THB,8.23137889,7,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage FB | Lifestyle reels  | 1-28 Feb 2026","Lifestyle reels |  1-28 Feb 2026",25-34,unknown,137,253,42,,21,THB,8.02013749,20,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage IG | แหวนคู่ 39,900.-  | 1-28 Feb 2026","แหวนคู่ 39,900.- |  1-28 Feb 2026",45-54,unknown,54,107,3,,0,THB,7.2799545,3,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage IG | Lifestyle | 1-28 Feb 2026","Lifestyle  |  1-28 Feb 2026",35-44,unknown,119,173,5,,1,THB,7.01,4,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage FB | Lifestyle  | 1-28 Feb 2026","Lifestyle |  1-28 Feb 2026",25-34,unknown,77,113,3,,1,THB,5.02081769,2,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage IG | แหวนคู่ 39,900.-  | 1-28 Feb 2026","แหวนคู่ 39,900.- |  1-28 Feb 2026",55-64,unknown,15,27,1,,0,THB,4.96996894,1,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage FB | แหวนคู่ 39,900.-  | 1-28 Feb 2026","แหวนคู่ 39,900.- |  1-28 Feb 2026",65+,unknown,17,32,1,,0,THB,2.97049761,1,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage FB | Lifestyle  | 1-28 Feb 2026","Lifestyle |  1-28 Feb 2026",45-54,unknown,22,42,,,0,THB,2.910474,,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage FB | Lifestyle  | 1-28 Feb 2026","Lifestyle |  1-28 Feb 2026",35-44,unknown,29,50,3,,3,THB,2.75044794,3,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage FB | แหวนคู่ 39,900.-  | 1-28 Feb 2026","แหวนคู่ 39,900.- |  1-28 Feb 2026",55-64,unknown,14,16,1,,1,THB,2.43040713,1,,,,,2026-02-01,2026-02-28
"3021 | BU D'Ultimate | Engage IG | Lifestyle reels  | 1-28 Feb 2026","Lifestyle reels |  1-28 Feb 2026",65+,unknown,24,66,4,,0,THB,2.36997968,1,,,,,2026-02-01,2026-02-28
