"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,Leads,"Reporting starts","Reporting ends"
"3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68",65+,female,319,434,11,,17,THB,15.07048006,,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Message FB | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Message FB | His&Her | 1-30 Sep 68",25-34,unknown,78,143,9,,8,THB,14.62557939,1,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Message IG | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Message IG | His&Her | 1-30 Sep 68",45-54,unknown,8,25,1,,0,THB,13.97863301,,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68",35-44,female,212,244,12,,13,THB,13.67,2,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Message IG | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Message IG | His&Her | 1-30 Sep 68",65+,male,44,142,11,,2,THB,12.21880511,,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage IG | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Engage IG | His&Her | 1-30 Sep 68",35-44,unknown,27,58,5,,0,THB,11.72610174,5,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68",18-24,unknown,41,96,9,,2,THB,11.45876005,9,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68","3021 | D'Ultimate | Engage IG | grand opening central hatyai | 4-15 Sep 68",35-44,unknown,30,59,7,,3,THB,11.19878818,7,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68","3021 | BU D'Ultimate | Engage FB | His&Her | 1-30 Sep 68",25-34,unknown,113,229,12,,12,THB,11.17514571,7,,,,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | FB Pagelike | Buy 1 get 1  | 27-30 Sep 68",18-24,male,88,128,2,,3,THB,11.02241833,2,,,2,,,2025-09-01,2025-09-30
"3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68","3021 | BU D'Ultimate | IG Profile visit | Buy 1 get 1  | 27-30 Sep 68",55-64,male,165,238,16,,20,THB,10.31978568,1,,,,,,2025-09-01,2025-09-30
