"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,"Reporting starts","Reporting ends"
"3021 | BU D'Ultimate | Engage IG | Lifestyle reels  | 1-15 Mar 2026","Lifestyle reels | 1-15 Mar 2026",55-64,male,252,610,72,,1,THB,40.46323937,26,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Message FB | แหวนคู่ 29,800.-  | 1-31 Mar 2026","แหวนคู่ 29,800.-  | 1-31 Mar 2026",55-64,male,334,497,9,1,10,THB,37.02,,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage IG | Lifestyle  | 16-31 Mar 2026","Lifestyle  | 16-31 Mar 2026",25-34,unknown,307,546,10,,2,THB,31.81963632,8,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage IG | Lifestyle reels  | 1-15 Mar 2026","Lifestyle reels | 1-15 Mar 2026",55-64,female,283,557,61,,0,THB,27.01216252,17,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Message FB | แหวนคู่ 29,800.-  | 1-31 Mar 2026","แหวนคู่ 29,800.-  | 1-31 Mar 2026",35-44,unknown,23,68,1,,3,THB,13.5,,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage IG | Lifestyle reels  | 1-15 Mar 2026","Lifestyle reels | 1-15 Mar 2026",35-44,unknown,54,138,11,,0,THB,10.49083987,4,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Message FB | แหวนคู่ 29,800.-  | 1-31 Mar 2026","แหวนคู่ 29,800.-  | 1-31 Mar 2026",25-34,unknown,31,72,3,,3,THB,10.22,,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Message FB | BOGO 52,500.-  | 1-31 Mar 2026","BOGO 52,500.-  | 1-31 Mar 2026",35-44,unknown,23,69,9,,16,THB,8.83601489,1,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage IG | Lifestyle  | 16-31 Mar 2026","Lifestyle  | 16-31 Mar 2026",35-44,unknown,68,123,2,,1,THB,8.73990011,1,,,,,2026-03-01,2026-03-31
"3021 | BU D'Ultimate | Engage FB | แหวนคู่ 29,800.-  | 1-31 Mar 2026","แหวนคู่ 29,800.-  | 1-31 Mar 2026",25-34,unknown,118,179,3,,2,THB,8.37977653,3,,,,,2026-03-01,2026-03-31
