"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,Leads,"Reporting starts","Reporting ends"
"2201 | BU DUL | Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026","Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026",35-44,female,22065,24639,17,,20,THB,162.13678287,8,,,,,,2026-06-01,2026-06-30
"2201 | BU DUL | Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026","Awareness | D*Ultimate x Journal Privilege    | 1-25 June 2026",25-34,female,20835,23599,12,,19,THB,156.6168924,3,,,,,,2026-06-01,2026-06-30
"2201 | BU DUL | Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026","Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026",25-34,unknown,217,480,8,,10,THB,29.32036651,6,,,4,,,2026-06-01,2026-06-30
"2201 | BU DUL | Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026","Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026",35-44,unknown,157,321,2,,4,THB,20.93026163,2,,,5,,,2026-06-01,2026-06-30
"2201 | BU DUL | Page Follower |  Pride Month Pro 29,800.-  | 1-30 June 2026","Page Follower | Pride Month Pro 29,800.-  | 1-30 June 2026",35-44,unknown,133,235,3,,6,THB,11.54,2,,1,2,,,2026-06-01,2026-06-30
"2201 | BU DUL | Page Follower |  D*Ultimate x Journal Privilege | 1-25 June 2026","Page Follower | D*Ultimate x Journal Privilege | 1-25 June 2026",25-34,unknown,18,45,,,0,THB,7.50990891,,,,1,,,2026-06-01,2026-06-30
"2201 | BU DUL | Page Follower |  Pride Month Pro 29,800.-  | 1-30 June 2026","Page Follower | Pride Month Pro 29,800.-  | 1-30 June 2026",45-54,unknown,90,206,3,,5,THB,6.4,3,,,3,,,2026-06-01,2026-06-30
"2201 | BU DUL | Page Follower |  Pride Month Pro 29,800.-  | 1-30 June 2026","Page Follower | Pride Month Pro 29,800.-  | 1-30 June 2026",25-34,unknown,129,244,2,,5,THB,6.39,2,,,2,,,2026-06-01,2026-06-30
"2201 | BU DUL | Engage | Lifestyle reels  | 1-30 June 2026","Lifestyle reels |  1-30 June 2026",25-34,unknown,153,186,113,,2,THB,6.11997377,,,,,,,2026-06-01,2026-06-30
"2201 | BU DUL | Page Follower |  D*Ultimate x Journal Privilege | 1-25 June 2026","Page Follower | D*Ultimate x Journal Privilege | 1-25 June 2026",35-44,unknown,13,54,2,,1,THB,6.01992698,2,,,2,,,2026-06-01,2026-06-30
"2201 | BU DUL | Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026","Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026",45-54,unknown,141,337,2,,3,THB,5.63007038,2,,,1,,,2026-06-01,2026-06-30
"2201 | BU DUL | Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026","Awareness | Pride Month Pro 29,800.-  | 1-30 June 2026",25-34,unknown,504,602,,,0,THB,5.42992759,,,,,,,2026-06-01,2026-06-30
"2201 | BU DUL | Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026","Page Follower | D*Sparkle โปร 59,800.-  | 1-30 June 2026",65+,unknown,100,315,1,,3,THB,3.440043,,,,2,,,2026-06-01,2026-06-30
"2201 | BU DUL | Engage | Lifestyle reels  | 1-30 June 2026","Lifestyle reels |  1-30 June 2026",35-44,unknown,82,88,57,,1,THB,3.36998556,,,,,,,2026-06-01,2026-06-30
