"Campaign name","Ad name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Amount spent (THB)","Post reactions","Post comments","Post shares","Facebook likes",Views,"Reporting starts","Reporting ends"
"2201 | BU DUL | Message | BOGO 52,500.-  | 1-31 May 2026","BOGO 52,500.-  | 1-31 May 2026",35-44,unknown,89,119,4,,0,THB,5.77006496,,,,,,2026-05-01,2026-05-31
"2201 | BU DUL | Engage | Sparkling post  | 1-31 May 2026","Sparkling post |  1-31 May 2026",45-54,unknown,42,72,3,,3,THB,5.55995234,3,,,,,2026-05-01,2026-05-31
"2201 | BU DUL | Engage | Lifestyle reels  | 1-31 May 2026","Lifestyle reels |  1-31 May 2026",35-44,unknown,83,90,77,,0,THB,5.15020604,,,,,,2026-05-01,2026-05-31
"2201 | BU DUL | Message | D*Sparkle โปร 59,800.-  | 1-31 May 2026","D*Sparkle โปร 59,800.-  | 1-31 May 2026",25-34,unknown,57,76,,,0,THB,5.12027526,,,,,,2026-05-01,2026-05-31
"2201 | BU DUL | Engage | Lifestyle reels  | 1-31 May 2026","Lifestyle reels |  1-31 May 2026",45-54,unknown,58,71,60,,0,THB,3.84015363,,,,,,2026-05-01,2026-05-31
"2201 | BU DUL | Message | D*Sparkle โปร 59,800.-  | 1-31 May 2026","D*Sparkle โปร 59,800.-  | 1-31 May 2026",45-54,unknown,31,55,,,0,THB,2.79015,,,,,,2026-05-01,2026-05-31
"2201 | BU DUL | Engage | Sparkling post  | 1-31 May 2026","Sparkling post |  1-31 May 2026",55-64,unknown,19,57,4,,4,THB,2.63997737,2,,,,,2026-05-01,2026-05-31
"2201 | BU DUL | Message | BOGO 52,500.-  | 1-31 May 2026","BOGO 52,500.-  | 1-31 May 2026",45-54,unknown,45,64,5,,1,THB,2.28002567,,,,,,2026-05-01,2026-05-31
"2201 | BU DUL | Message | D*Sparkle โปร 59,800.-  | 1-31 May 2026","D*Sparkle โปร 59,800.-  | 1-31 May 2026",65+,unknown,16,31,1,,1,THB,2.03010914,,,,,,2026-05-01,2026-05-31
"2201 | BU DUL | Message | BOGO 52,500.-  | 1-31 May 2026","BOGO 52,500.-  | 1-31 May 2026",55-64,unknown,28,42,2,,0,THB,1.96002206,,,,,,2026-05-01,2026-05-31
"2201 | BU DUL | Engage | Lifestyle reels  | 1-31 May 2026","Lifestyle reels |  1-31 May 2026",55-64,unknown,33,38,28,,1,THB,1.68006721,1,,,,,2026-05-01,2026-05-31
"2201 | BU DUL | Engage | Lifestyle reels  | 1-31 May 2026","Lifestyle reels |  1-31 May 2026",65+,unknown,25,27,19,,0,THB,1.42005681,,,,,,2026-05-01,2026-05-31
"2201 | BU DUL | Engage | Sparkling post  | 1-31 May 2026","Sparkling post |  1-31 May 2026",65+,unknown,14,36,1,,1,THB,1.33998851,1,,,,,2026-05-01,2026-05-31
"2201 | BU DUL | Message | D*Sparkle โปร 59,800.-  | 1-31 May 2026","D*Sparkle โปร 59,800.-  | 1-31 May 2026",55-64,unknown,14,19,,,1,THB,1.10005914,,,,,,2026-05-01,2026-05-31
"2201 | BU DUL | Message | BOGO 52,500.-  | 1-31 May 2026","BOGO 52,500.-  | 1-31 May 2026",65+,unknown,15,22,2,,0,THB,0.73000822,,,,,,2026-05-01,2026-05-31
"2201 | BU DUL | Engage | Sparkling post  | 1-31 May 2026","Sparkling post |  1-31 May 2026",Unknown,female,1,1,,,0,THB,0.01999983,,,,,,2026-05-01,2026-05-31
